!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc33.txt
! R    D    M    P
2000
3.715651874853322e-05 105307.2961547244 2.7434374892933904e-08 -1.7376855228487351
3.7384049509312076e-05 104878.1081711132 2.7851769257960896e-08 -1.7376809949959902
3.7612973571962243e-05 104450.25250979303 2.8275145097835045e-08 -1.7376764262622775
3.784329946847324e-05 104023.72673797155 2.8704586415389942e-08 -1.737671816338294
3.807503578308121e-05 103598.52842147302 2.914017836643764e-08 -1.7376671649123445
3.830819115258818e-05 103174.65512475865 2.9582007275181108e-08 -1.7376624716703286
3.8542774266684524e-05 102752.10441094585 3.0030160649828725e-08 -1.7376577362957226
3.877879386827263e-05 102330.87384182637 3.0484727198409726e-08 -1.7376529584695657
3.901625875379242e-05 101910.96097788888 3.094579684479426e-08 -1.7376481378704434
3.9255177773549776e-05 101492.36337833587 3.141346074492245e-08 -1.7376432741744714
3.949555983204606e-05 101075.07860110347 3.18878113032419e-08 -1.7376383670552809
3.97374138883098e-05 100659.10420288282 3.2368942189357906e-08 -1.7376334161840004
3.9980748956231045e-05 100244.43773913704 3.285694835490024e-08 -1.7376284212292417
4.022557410489711e-05 99831.07676412271 3.335192605060655e-08 -1.7376233818570828
4.047189845893027e-05 99419.01883090874 3.38539728436263e-08 -1.737618297731051
4.07197311988284e-05 99008.26149139523 3.4363187635049656e-08 -1.737613168512108
4.096908156130683e-05 98598.8022963341 3.487967067766106e-08 -1.7376079938586306
4.121995883964237e-05 98190.63879534794 3.540352359392168e-08 -1.7376027734263977
4.147237238402016e-05 97783.76853694928 3.593484939418534e-08 -1.7375975068685705
4.172633160188192e-05 97378.1890685607 3.647375249514761e-08 -1.7375921938356778
4.19818459582763e-05 96973.89793653451 3.7020338738532366e-08 -1.7375868339755975
4.223892497621214e-05 96570.89268617089 3.75747154100207e-08 -1.737581426933541
4.249757823701315e-05 96169.17086173882 3.813699125842165e-08 -1.7375759723520345
4.275781538067474e-05 95768.73000649507 3.8707276515089476e-08 -1.7375704698709038
4.301964610622384e-05 95369.56766270308 3.928568291359236e-08 -1.7375649191272553
4.3283080172080074e-05 94971.68137165351 3.9872323709631936e-08 -1.737559319755459
4.3548127396419264e-05 94575.068673683 4.046731370121879e-08 -1.7375536713871316
4.3814797657539816e-05 94179.72710819353 4.1070769249108644e-08 -1.737547973651118
4.408310089423065e-05 93785.65421367205 4.1682808297498944e-08 -1.737542226173475
4.4353047106141355e-05 93392.84752771074 4.2303550394990953e-08 -1.7375364285774517
4.462464635415539e-05 93001.30458702453 4.293311671582227e-08 -1.737530580483473
4.48979087607648e-05 92611.02292747244 4.3571630081369614e-08 -1.737524681509121
4.517284451044722e-05 92222.0000840762 4.4219214981926944e-08 -1.737518731269117
4.5449463850046045e-05 91834.2335910392 4.487599759876439e-08 -1.7375127293753032
4.5727777089151644e-05 91447.72098176695 4.554210582646628e-08 -1.7375066754366248
4.600779460048622e-05 91062.4597888854 4.6217669295558046e-08 -1.7375005690591108
4.628952682029013e-05 90678.4475442613 4.690281939542008e-08 -1.7374944098458562
4.6572984248710536e-05 90295.68177902074 4.7597689297494327e-08 -1.737488197397004
4.6858177450193365e-05 89914.16002356911 4.8302413978789326e-08 -1.7374819313097238
4.714511705387671e-05 89533.87980760985 4.9017130245683054e-08 -1.7374756111781968
4.743381375398671e-05 89154.83866016494 4.974197675802942e-08 -1.7374692365935935
4.7724278310236706e-05 88777.03410959258 5.047709405357438e-08 -1.7374628071440572
4.8016521548227954e-05 88400.46368360784 5.122262457268088e-08 -1.7374563224146824
4.831055435985281e-05 88025.12490930174 5.1978712683368857e-08 -1.7374497819874983
4.860638770370125e-05 87651.01531316036 5.274550470667613e-08 -1.7374431854414474
4.890403260546901e-05 87278.13242108346 5.352314894233995e-08 -1.7374365323523666
4.920350015836821e-05 86906.47375840531 5.431179569480504e-08 -1.7374298222929678
4.95048015235415e-05 86536.03684991242 5.511159729956483e-08 -1.7374230548328187
