!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc1000.txt
! R    D    M    P
2000
1.1791954449249752e-05 265024.4504603385 7.373578624132102e-10 -6.007734803415635
1.1864163376707852e-05 264219.47160591214 7.709512355369861e-10 -6.007734414188198
1.193681448101007e-05 263416.15468268044 8.050615575453757e-10 -6.007734009964376
1.2009910469859875e-05 262614.49864383123 8.396966804492878e-10 -6.007733590675557
1.208345406754156e-05 261814.50243717042 8.748645738179028e-10 -6.00773315625213
1.2157448015021709e-05 261016.16500513497 9.105733265106618e-10 -6.007732706623475
1.223189507005152e-05 260219.48528479697 9.468311484344417e-10 -6.0077322417179575
1.2306798007269391e-05 259424.46220787364 9.836463723259644e-10 -6.007731761462923
1.2382159618304501e-05 258631.0947007368 1.0210274555601728e-09 -6.007731265784692
1.2457982711880788e-05 257839.3816844183 1.0589829819846239e-09 -6.007730754608552
1.253427011392154e-05 257049.3220746235 1.0975216637803931e-09 -6.007730227858754
1.2611024667654883e-05 256260.91478173473 1.13665234334999e-09 -6.007729685458501
1.2688249233719667e-05 255474.15871082232 1.1763839952324216e-09 -6.007729127329948
1.2765946690271997e-05 254689.0527616549 1.2167257280459132e-09 -6.00772855339419
1.284411993309267e-05 253905.5958287058 1.2576867864588005e-09 -6.007727963571261
1.2922771875695012e-05 253123.7868011612 1.2992765531887383e-09 -6.007727357780121
1.3001905449433392e-05 252343.6245629317 1.3415045510307584e-09 -6.007726735938654
1.3081523603612627e-05 251565.10799266066 1.3843804449147065e-09 -6.007726097963661
1.3161629305597831e-05 250788.23596372965 1.4279140439922196e-09 -6.007725443770851
1.3242225540924915e-05 250013.0073442732 1.4721153037537837e-09 -6.007724773274836
1.3323315313412032e-05 249239.42099718208 1.5169943281764423e-09 -6.007724086389124
1.3404901645271445e-05 248467.47578011762 1.5625613719023085e-09 -6.00772338302611
1.3486987577222075e-05 247697.17054551616 1.6088268424484529e-09 -6.0077226630970735
1.3569576168603001e-05 246928.504140602 1.6558013024487495e-09 -6.007721926512164
1.3652670497487402e-05 246161.47540739353 1.7034954719278613e-09 -6.0077211731804026
1.3736273660797179e-05 245396.08318271564 1.7519202306079317e-09 -6.007720403009669
1.3820388774418586e-05 244632.32629820603 1.801086620248636e-09 -6.007719615906694
1.3905018973318132e-05 243870.20358032777 1.8510058470206387e-09 -6.007718811777057
1.3990167411659613e-05 243109.7138503745 1.9016892839134154e-09 -6.0077179905251725
1.4075837262921588e-05 242350.85592448388 1.9531484731775254e-09 -6.007717152054287
1.4162031720015563e-05 241593.62861364568 2.0053951288019725e-09 -6.00771629626647
1.4248753995405174e-05 240838.03072371113 2.0584411390273087e-09 -6.0077154230626055
1.4336007321225812e-05 240084.06105540117 2.1122985688946653e-09 -6.007714532342386
1.4423794949405015e-05 239331.7184043199 2.1669796628313863e-09 -6.007713624004303
1.451212015178383e-05 238581.0015609602 2.222496847273925e-09 -6.007712697945641
1.460098622023867e-05 237831.90931071524 2.2788627333282097e-09 -6.007711754062465
1.4690396466803916e-05 237084.4404338906 2.336090119468174e-09 -6.007710792249623
1.4780354223795531e-05 236338.5937057081 2.3941919942731343e-09 -6.007709812400723
1.4870862843935171e-05 235594.36789632202 2.4531815392042595e-09 -6.007708814408138
1.4961925700475041e-05 234851.761770826 2.5130721314207994e-09 -6.007707798162992
1.5053546187323804e-05 234110.77408926174 2.573877346636855e-09 -6.00770676355515
1.5145727719172987e-05 233371.40360663264 2.6356109620188835e-09 -6.007705710473215
1.5238473731624138e-05 232633.64907291165 2.6982869591246674e-09 -6.007704638804515
1.533178768131707e-05 231897.50923305014 2.7619195268845562e-09 -6.007703548435094
1.542567304605859e-05 231162.9828269912 2.8265230646251654e-09 -6.007702439249709
1.5520133324952028e-05 230430.06858967736 2.892112185136333e-09 -6.007701311131816
1.5615172038527825e-05 229698.765251062 2.958701717782111e-09 -6.0077001639635625
1.571079272887467e-05 228969.07153611913 3.0263067116560682e-09 -6.0076989976257815
1.5806998959771393e-05 228240.98616485432 3.094942438781638e-09 -6.007697811997977
1.590379431682003e-05 227514.50785231413 3.164624397358457e-09 -6.007696606958322
1.6001182407579192e-05 226789.63530859776 3.235368315054696e-09 -6.007695382383641
1.609916686169874e-05 226066.36723886666 3.3071901523467624e-09 -6.007694138149412
1.619775133105498e-05 225344.70234335455 3.3801061059064375e-09 -6.007692874129745
1.6296939489886658e-05 224624.6393173806 3.454132612036335e-09 -6.007691590197382
1.6396735034932097e-05 223906.17685135631 3.5292863501545847e-09 -6.007690286223683
1.6497141685566882e-05 223189.31363079834 3.6055842463290034e-09 -6.007688962078619
1.6598163183942368e-05 222474.04833634043 3.683043476861622e-09 -6.007687617630762
1.6699803295125365e-05 221760.3796437407 3.761681471924555e-09 -6.007686252747271
1.6802065807238357e-05 221048.3062238951 3.841515919247419e-09 -6.0076848672938885
1.6904954531600574e-05 220337.82674284824 3.92256476785727e-09 -6.00768346113493
1.700847330287026e-05 219628.93986180253 4.0048462318720465e-09 -6.0076820341332695
1.7112625979187466e-05 218921.64423713044 4.088378794347742e-09 -6.007680586150335
1.7217416442317772e-05 218215.93852038583 4.173181211180345e-09 -6.0076791170460915
1.732284859779713e-05 217511.82135831245 4.259272515063505e-09 -6.007677626679041
1.7428926375077346e-05 216809.2913928592 4.346672019502259e-09 -6.007676114906204
1.7535653727672415e-05 216108.3472611873 4.435399322883784e-09 -6.0076745815831085
1.7643034633306087e-05 215408.98759568276 4.525474312606287e-09 -6.00767302656379
1.7751073094059996e-05 214711.21102396917 4.616917169266275e-09 -6.007671449700768
1.785977313652272e-05 214015.01616891698 4.709748370905297e-09 -6.007669850845044
1.796913881194011e-05 213320.40164865428 4.8039886973172995e-09 -6.0076682298460895
1.8079174196365975e-05 212627.3660765812 4.899659234416638e-09 -6.007666586551832
1.818988339081426e-05 211935.9080613774 4.9967813786685404e-09 -6.007664920808647
1.830127052141178e-05 211246.02620701544 5.095376841582109e-09 -6.007663232461345
1.8413339739551892e-05 210557.71911277412 5.195467654267024e-09 -6.007661521353166
1.8526095222049435e-05 209870.98537324576 5.297076172055138e-09 -6.0076597873257604
1.863954117129629e-05 209185.82357835062 5.400225079187266e-09 -6.007658030219184
1.875368181541789e-05 208502.23231334827 5.504937393566365e-09 -6.007656249871881
1.8868521408431032e-05 207820.210158848 5.611236471578355e-09 -6.007654446120682
1.8984064230402304e-05 207139.75569082113 5.719146012980862e-09 -6.007652618800783
1.910031458760749e-05 206460.86748061434 5.828690065861141e-09 -6.007650767745737
1.9217276812692298e-05 205783.54409495744 5.93989303166451e-09 -6.007648892787447
1.9334955264833725e-05 205107.78409597848 6.05277967029354e-09 -6.007646993756144
1.9453354329902396e-05 204433.5860412163 6.167375105279356e-09 -6.007645070480387
1.9572478420626264e-05 203760.94848362828 6.283704829026375e-09 -6.007643122787043
1.9692331976754965e-05 203089.86997160572 6.40179470813082e-09 -6.007641150501278
1.981291946522515e-05 202420.3490489853 6.521670988774338e-09 -6.0076391534465445
1.993424538032722e-05 201752.3842550589 6.643360302194165e-09 -6.007637131444569
2.00563142438727e-05 201085.97412458985 6.766889670230124e-09 -6.00763508431534
2.0179130605362657e-05 200421.11718781988 6.892286510949933e-09 -6.007633011877095
2.030269904215749e-05 199757.81197048514 7.019578644354217e-09 -6.007630913946309
2.0427024159647413e-05 199096.05699382635 7.148794298161616e-09 -6.007628790337683
2.0552110591423967e-05 198435.85077460276 7.279962113675436e-09 -6.0076266408641255
