!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc10.txt
! R    D    M    P
2000
1e-05 459673.96796867676 1.4256666955856278e-15 -9.060214300295222
1.006123575847316e-05 458314.0525518843 3.5538156646433974e-11 -9.060214289494876
1.0122846498757917e-05 456956.83725846576 7.162460027179316e-11 -9.060214257097753
1.0184834517083798e-05 455602.3206511614 1.0826915381497582e-10 -9.06021420303411
1.0247202123741523e-05 454250.50128377054 1.454803410558436e-10 -9.06021412723283
1.0309951643169051e-05 452901.3777011748 1.8326681415860766e-10 -9.060214029621413
1.0373085414038158e-05 451554.9484393394 2.2163735557589323e-10 -9.060213910125958
1.0436605789341707e-05 450211.2120253289 2.60600879980656e-10 -9.060213768671163
1.0500515136481299e-05 448870.16697732 3.001664362261561e-10 -9.060213605180323
1.0564815837355432e-05 447531.8118046091 3.403432093344759e-10 -9.060213419575312
1.0629510288448401e-05 446196.1450076265 3.8114052251411815e-10 -9.06021321177658
1.0694600900919563e-05 444863.16507794627 4.22567839206874e-10 -9.060212981703147
1.0760090100693117e-05 443532.87049830245 4.6463476516446636e-10 -9.060212729272594
1.0825980328548686e-05 442205.2597425944 5.073510505555749e-10 -9.060212454401057
1.0892274040212104e-05 440880.33127590286 5.507265921032884e-10 -9.060212157003212
1.0958973706447095e-05 439558.0835545008 5.94771435253866e-10 -9.060211836992274
1.1026081813147287e-05 438238.51502586773 6.394957763768862e-10 -9.060211494279992
1.1093600861428806e-05 436921.62412869587 6.849099649973864e-10 -9.06021112877663
1.1161533367723615e-05 435607.4092929099 7.310245060605579e-10 -9.060210740390964
1.122988186387324e-05 434295.8689396735 7.778500622292249e-10 -9.060210329030285
1.1298648897223065e-05 432987.00148140534 8.253974562146816e-10 -9.06020989460037
1.1367837030717404e-05 431680.8053217873 8.73677673141516e-10 -9.060209437005485
1.1437448842994951e-05 430377.27885578363 9.227018629466171e-10 -9.060208956148376
1.1507486928484828e-05 429076.4204696468 9.72481342813003e-10 -9.060208451930263
1.1577953897503402e-05 427778.22854093456 1.0230275996390922e-09 -9.060207924250822
1.1648852376351514e-05 426482.7014385193 1.0743522925436532e-09 -9.060207373008183
1.172018500741229e-05 425189.8375226057 1.1264672554070663e-09 -9.060206798098925
1.1791954449249754e-05 423899.63514473866 1.1793844994495726e-09 -9.060206199418058
1.1864163376707854e-05 422612.0926478187 1.2331162158467384e-09 -9.060205576859014
1.1936814481010072e-05 421327.20836611546 1.2876747783828006e-09 -9.060204930313647
1.2009910469859876e-05 420044.98062528064 1.3430727461426046e-09 -9.060204259672215
1.2083454067541561e-05 418765.4077423573 1.3993228662423572e-09 -9.060203564823373
1.215744801502171e-05 417488.4880258013 1.4564380765998992e-09 -9.06020284565417
1.2231895070051522e-05 416214.21977548755 1.5144315087452599e-09 -9.060202102050027
1.2306798007269393e-05 414942.6012827256 1.573316490671574e-09 -9.060201333894735
1.2382159618304503e-05 413673.6308302755 1.6331065497275305e-09 -9.060200541070447
1.245798271188079e-05 412407.30669235595 1.6938154155514375e-09 -9.060199723457663
1.2534270113921541e-05 411143.62713466655 1.7554570230476885e-09 -9.06019888093522
1.2611024667654885e-05 409882.5904143923 1.8180455154064343e-09 -9.060198013380287
1.2688249233719669e-05 408624.19478022185 1.881595247166678e-09 -9.060197120668352
1.2765946690271999e-05 407368.4384723645 1.9461207873236033e-09 -9.06019620267321
1.2844119933092672e-05 406115.31972255895 2.011636922480966e-09 -9.060195259266953
1.2922771875695014e-05 404864.836754088 2.078158660048775e-09 -9.060194290319965
1.3001905449433393e-05 403616.98778179614 2.1457012314871186e-09 -9.0601932957009
1.3081523603612629e-05 402371.7710121025 2.2142800955969796e-09 -9.060192275276686
1.3161629305597833e-05 401129.18464301096 2.2839109418583012e-09 -9.0601912289125
1.3242225540924917e-05 399889.22686413216 2.3546096938161656e-09 -9.060190156471766
1.3323315313412034e-05 398651.89585669007 2.426392512515996e-09 -9.060189057816142
1.3404901645271446e-05 397417.18979354395 2.4992757999880315e-09 -9.060187932805508
1.3486987577222077e-05 396185.1068391959 2.5732762027819813e-09 -9.060186781297958
1.3569576168603003e-05 394955.6451498116 2.648410615552802e-09 -9.060185603149776
1.3652670497487404e-05 393728.8028732297 2.7246961846978733e-09 -9.060184398215444
1.373627366079718e-05 392504.5781489825 2.8021503120464964e-09 -9.060183166347622
1.3820388774418588e-05 391282.96910830523 2.8807906586027385e-09 -9.060181907397125
1.3905018973318134e-05 390063.97387415613 2.9606351483417187e-09 -9.060180621212927
1.3990167411659615e-05 388847.5905612257 3.0417019720608554e-09 -9.060179307642146
1.407583726292159e-05 387633.81727595726 3.1240095912862173e-09 -9.060177966530027
1.4162031720015565e-05 386422.6521165601 3.207576742234995e-09 -9.060176597719932
1.4248753995405176e-05 385214.09317302454 3.292422439835146e-09 -9.060175201053326
1.4336007321225814e-05 384008.1385271357 3.3785659818025028e-09 -9.060173776369773
1.4423794949405016e-05 382804.7862524938 3.466026952776424e-09 -9.06017232350691
1.4512120151783831e-05 381604.03441452404 3.554825228515051e-09 -9.060170842300444
1.4600986220238671e-05 380405.8810704947 3.6449809801504912e-09 -9.060169332584142
1.4690396466803918e-05 379210.32426953665 3.736514678505044e-09 -9.060167794189807
