!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc31.txt
! R    D    M    P
2000
9.999999999999999e-06 473276.0432318157 2.1142549490277785e-15 -3.534447678461082
1.0061235758473158e-05 471711.9382872801 3.6584016531114295e-11 -3.5344476673407614
1.0122846498757916e-05 470151.4815048354 7.371888610022632e-11 -3.53444763399236
1.0184834517083796e-05 468594.6694142359 1.1141495953558524e-10 -3.534447578351928
1.0247202123741522e-05 467041.4985346909 1.4968059410513893e-10 -3.5344475003541973
1.030995164316905e-05 465491.9653748858 1.8852426950788483e-10 -3.5344473999325765
1.0373085414038156e-05 463946.06643302226 2.2795458963474958e-10 -3.5344472770191464
1.0436605789341706e-05 462403.7981968348 2.6798028435437335e-10 -3.5344471315446504
1.0500515136481297e-05 460865.1571436306 3.086102113239409e-10 -3.534446963438492
1.056481583735543e-05 459330.1397403129 3.4985335782549557e-10 -3.5344467726287263
1.06295102884484e-05 457798.74244340975 3.9171884262821396e-10 -3.534446559042054
1.0694600900919561e-05 456270.961699105 4.3421591787676974e-10 -3.5344463226038183
1.0760090100693115e-05 454746.79394326895 4.773539710062334e-10 -3.5344460632379917
1.0825980328548684e-05 453226.23560148454 5.211425266840577e-10 -3.534445780867179
1.0892274040212103e-05 451709.2830890802 5.655912487791247e-10 -3.534445475412603
1.0958973706447093e-05 450195.9328111548 6.107099423586816e-10 -3.5344451467941003
1.1026081813147285e-05 448686.18116261513 6.565085557131747e-10 -3.534444794930116
1.1093600861428804e-05 447180.02452819713 7.029971824095193e-10 -3.5344444197376963
1.1161533367723613e-05 445677.45928250236 7.501860633733101e-10 -3.5344440211324804
1.1229881863873238e-05 444178.4817900228 7.980855890001257e-10 -3.534443599028696
1.1298648897223063e-05 442683.08840517607 8.467063012964362e-10 -3.53444315333915
1.1367837030717402e-05 441191.27547233214 8.960588960506753e-10 -3.534442683975223
1.143744884299495e-05 439703.03932584275 9.461542250345987e-10 -3.534442190846863
1.1507486928484826e-05 438218.37629007694 9.970032982354928e-10 -3.5344416738625752
1.15779538975034e-05 436737.282679447 1.0486172861197915e-09 -3.534441132929418
1.1648852376351512e-05 435259.75479843613 1.10100752192825e-09 -3.5344405679529936
1.1720185007412288e-05 433785.7889416402 1.1541855040032394e-09 -3.5344399788374417
1.1791954449249752e-05 432315.38139378646 1.2081628981487623e-09 -3.534439365485432
1.1864163376707852e-05 430848.52842977026 1.2629515400233338e-09 -3.5344387277981566
1.193681448101007e-05 429385.22631468653 1.3185634375663123e-09 -3.534438065675322
1.2009910469859875e-05 427925.4713038561 1.3750107734583196e-09 -3.5344373790151407
1.208345406754156e-05 426469.25964286225 1.432305907615879e-09 -3.534436667714326
1.2157448015021709e-05 425016.5875675795 1.4904613797208973e-09 -3.5344359316680816
1.223189507005152e-05 423567.4513042046 1.5494899117856664e-09 -3.5344351707700947
1.2306798007269391e-05 422121.8470692864 1.6094044107533792e-09 -3.5344343849125295
1.2382159618304501e-05 420679.77106976183 1.670217971135236e-09 -3.534433573986015
1.2457982711880788e-05 419241.2195029813 1.7319438776841423e-09 -3.5344327378796407
1.253427011392154e-05 417806.1885567465 1.7945956081056814e-09 -3.5344318764809475
1.2611024667654883e-05 416374.6744093379 1.8581868358070866e-09 -3.5344309896759185
1.2688249233719667e-05 414946.6732295481 1.9227314326843206e-09 -3.5344300773489707
1.2765946690271997e-05 413522.18117671134 1.9882434719479852e-09 -3.534429139382949
1.284411993309267e-05 412101.19440074003 2.0547372309887924e-09 -3.534428175659113
1.2922771875695012e-05 410683.7090421525 2.1222271942827186e-09 -3.534427186057132
1.3001905449433392e-05 409269.72123210673 2.1907280563365978e-09 -3.534426170455075
1.3081523603612627e-05 407859.2270924334 2.260254724674895e-09 -3.5344251287294033
1.3161629305597831e-05 406452.222735666 2.3308223228678216e-09 -3.5344240607549593
1.3242225540924915e-05 405048.70426507614 2.402446193601529e-09 -3.534422966404959
1.3323315313412032e-05 403648.6677747009 2.475141901791211e-09 -3.5344218455509817
1.3404901645271445e-05 402252.1093493824 2.5489252377372256e-09 -3.5344206980629638
1.3486987577222075e-05 400859.02506479574 2.6238122203250508e-09 -3.534419523809186
1.3569576168603001e-05 399469.41098747886 2.6998191002698888e-09 -3.5344183226562658
1.3652670497487402e-05 398083.26317487407 2.7769623634060895e-09 -3.5344170944691484
1.3736273660797179e-05 396700.57767535176 2.8552587340221867e-09 -3.5344158391110976
