!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc30.txt
! R    D    M    P
2000
1e-05 1593155.5778230005 7.117066484038454e-15 -11.88822813887368
1.006123575847316e-05 1587890.4422803868 1.2315018017331898e-10 -11.888228101440134
1.0122846498757917e-05 1582637.5872870786 2.4815465785989065e-10 -11.888227989181775
1.0184834517083798e-05 1577397.0011614335 3.750482763187307e-10 -11.888227801883335
1.0247202123741523e-05 1572168.6721863127 5.038591680282033e-10 -11.888227539325106
1.0309951643169051e-05 1566952.5886091518 6.346158775976316e-10 -11.888227201282927
1.0373085414038158e-05 1561748.738642095 7.67347367694822e-10 -11.888226787528165
1.0436605789341707e-05 1556557.1104620527 9.020830250574223e-10 -11.888226297827687
1.0500515136481299e-05 1551377.6922108333 1.0388526665885962e-09 -11.888225731943848
1.0564815837355432e-05 1546210.471995224 1.177686545538474e-09 -11.888225089634467
1.0629510288448401e-05 1541055.4378870865 1.3186153577729977e-09 -11.8882243706528
1.0694600900919563e-05 1535912.5779234618 1.4616702481305855e-09 -11.888223574747537
1.0760090100693117e-05 1530781.8801066724 1.6068828168681233e-09 -11.88822270166275
1.0825980328548686e-05 1525663.3324044119 1.7542851261981325e-09 -11.88822175113791
1.0892274040212104e-05 1520556.9227498549 1.9039097069170326e-09 -11.888220722907835
1.0958973706447095e-05 1515462.6390417402 2.055789565127286e-09 -11.888219616702676
1.1026081813147287e-05 1510380.4691444982 2.209958189053452e-09 -11.888218432247902
1.1093600861428806e-05 1505310.4008883224 2.366449555953964e-09 -11.88821716926427
1.1161533367723615e-05 1500252.422069291 2.5252981391303262e-09 -11.888215827467802
1.122988186387324e-05 1495206.5204494507 2.6865389150342506e-09 -11.88821440656977
1.1298648897223065e-05 1490172.6837569366 2.8502073704744376e-09 -11.88821290627666
1.1367837030717404e-05 1485150.8996860606 3.016339509924907e-09 -11.888211326290161
1.1437448842994951e-05 1480141.1558974106 3.1849718629352703e-09 -11.888209666307139
1.1507486928484828e-05 1475143.4400179712 3.356141491644862e-09 -11.888207926019597
1.1577953897503402e-05 1470157.7396412094 3.5298859984025865e-09 -11.888206105114675
1.1648852376351514e-05 1465184.0423271698 3.7062435334930018e-09 -11.888204203274606
1.172018500741229e-05 1460222.3356026127 3.885252802970527e-09 -11.888202220176707
1.1791954449249754e-05 1455272.606961079 4.066953076603794e-09 -11.888200155493337
1.1864163376707854e-05 1450334.8438630132 4.251384195930631e-09 -11.888198008891889
1.1936814481010072e-05 1445409.0337358695 4.4385865824256535e-09 -11.888195780034751
1.2009910469859876e-05 1440495.1639741997 4.628601245782597e-09 -11.888193468579285
1.2083454067541561e-05 1435593.221939777 4.821469792311843e-09 -11.8881910741778
1.215744801502171e-05 1430703.1949616931 5.017234433455233e-09 -11.88818859647753
1.2231895070051522e-05 1425825.0703364613 5.215937994420453e-09 -11.888186035120604
1.2306798007269393e-05 1420958.8353281189 5.4176239229349616e-09 -11.888183389744016
1.2382159618304503e-05 1416104.4771683463 5.622336298123104e-09 -11.888180659979605
1.245798271188079e-05 1411261.9830565539 5.830119839506381e-09 -11.888177845454017
1.2534270113921541e-05 1406431.3401600092 6.041019916129208e-09 -11.88817494578869
1.2611024667654885e-05 1401612.5356139287 6.2550825558125835e-09 -11.888171960599816
1.2688249233719669e-05 1396805.55652159 6.472354454536042e-09 -11.888168889498319
1.2765946690271999e-05 1392010.3899544335 6.692882985950307e-09 -11.888165732089824
1.2844119933092672e-05 1387227.0229521815 6.9167162110231285e-09 -11.888162487974625
1.2922771875695014e-05 1382455.442522935 7.143902887818688e-09 -11.888159156747662
1.3001905449433393e-05 1377695.6356432855 7.374492481413154e-09 -11.888155737998488
1.3081523603612629e-05 1372947.5892584263 7.608535173948838e-09 -11.888152231311244
1.3161629305597833e-05 1368211.290282255 7.846081874827517e-09 -11.888148636264615
1.3242225540924917e-05 1363486.7255974913 8.087184231045424e-09 -11.888144952431825
1.3323315313412034e-05 1358773.8820557687 8.331894637672656e-09 -11.888141179380577
1.3404901645271446e-05 1354072.7464777692 8.580266248477401e-09 -11.888137316673046
1.3486987577222077e-05 1349383.3056533164 8.83235298669772e-09 -11.888133363865837
1.3569576168603003e-05 1344705.5463414756 9.088209555963641e-09 -11.888129320509952
1.3652670497487404e-05 1340039.4552706948 9.347891451370097e-09 -11.888125186150766
1.373627366079718e-05 1335385.0191388833 9.61145497070343e-09 -11.888120960327996
1.3820388774418588e-05 1330742.2246135443 9.878957225824524e-09 -11.888116642575646
1.3905018973318134e-05 1326111.0583318796 1.0150456154208408e-08 -11.888112232422015
1.3990167411659615e-05 1321491.5069008907 1.042601053064512e-08 -11.888107729389624
1.407583726292159e-05 1316883.556897505 1.0705679979101784e-08 -11.888103132995214
1.4162031720015565e-05 1312287.19486868 1.098952498474897e-08 -11.888098442749687
1.4248753995405176e-05 1307702.4073315153 1.127760690615441e-08 -11.888093658158093
1.4336007321225814e-05 1303129.1807733648 1.1569987987644562e-08 -11.888088778719586
1.4423794949405016e-05 1298567.5016519586 1.1866731371837278e-08 -11.88808380392739
1.4512120151783831e-05 1294017.3563955019 1.2167901112348599e-08 -11.888078733268763
1.4600986220238671e-05 1289478.7314027923 1.2473562186674374e-08 -11.888073566224975
1.4690396466803918e-05 1284951.6130433376 1.2783780509249894e-08 -11.88806830227125
1.4780354223795533e-05 1280435.9876574723 1.3098622944690844e-08 -11.888062940876754
1.4870862843935173e-05 1275931.8415564543 1.3418157321216242e-08 -11.888057481504545
1.4961925700475043e-05 1271439.1610225998 1.3742452444256583e-08 -11.888051923611538
1.5053546187323806e-05 1266957.9323093856 1.4071578110250855e-08 -11.888046266648473
1.5145727719172989e-05 1262488.1416415644 1.4405605120632852e-08 -11.888040510059877
1.523847373162414e-05 1258029.7752152884 1.4744605296010351e-08 -11.888034653284025
1.5331787681317072e-05 1253582.8191982068 1.5088651490540803e-08 -11.888028695752908
1.5425673046058592e-05 1249147.2597296003 1.543781760650408e-08 -11.888022636892188
1.552013332495203e-05 1244723.0829204891 1.579217860907601e-08 -11.888016476121166
1.5615172038527828e-05 1240310.2748537385 1.615181054130629e-08 -11.888010212852736
1.5710792728874674e-05 1235908.8215841928 1.6516790539301723e-08 -11.888003846493357
1.5806998959771397e-05 1231518.709138785 1.6887196847618125e-08 -11.887997376443012
1.5903794316820035e-05 1227139.9235166414 1.726310883486541e-08 -11.887990802095153
1.6001182407579196e-05 1222772.4506892152 1.764460700952522e-08 -11.887984122836686
1.6099166861698744e-05 1218416.2766003974 1.8031773035987978e-08 -11.887977338047914
1.6197751331054983e-05 1214071.3871666277 1.8424689750808993e-08 -11.887970447102505
1.629693948988666e-05 1209737.7682770235 1.8823441179187846e-08 -11.887963449367442
1.63967350349321e-05 1205415.405793487 1.9228112551675167e-08 -11.887956344202996
1.6497141685566886e-05 1201104.2855508258 1.9638790321107676e-08 -11.88794913096267
1.659816318394237e-05 1196804.393356879 2.005556217977539e-08 -11.887941808993173
1.6699803295125368e-05 1192515.7149926252 2.0478517076825706e-08 -11.88793437763436
1.680206580723836e-05 1188238.2362123055 2.0907745235904717e-08 -11.88792683621921
1.6904954531600577e-05 1183971.9427435405 2.134333817304033e-08 -11.88791918407376
1.7008473302870262e-05 1179716.8202874532 2.178538871477176e-08 -11.88791142051709
