!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc25.txt
! R    D    M    P
2000
9.999999999999999e-06 1690095.5863646064 7.550124306738125e-15 -12.546084567565213
1.0061235758473158e-05 1684510.0789188475 1.3064359744159045e-10 -12.54608452785392
1.0122846498757916e-05 1678937.5992667754 2.632543223166721e-10 -12.546084408764886
1.0184834517083796e-05 1673378.135015946 3.9786913801984173e-10 -12.546084210069747
1.0247202123741522e-05 1667831.6737362584 5.3451788882882e-10 -12.54608393153543
1.030995164316905e-05 1662298.2029600302 6.732308562295478e-10 -12.546083572924127
1.0373085414038156e-05 1656777.7101821406 8.140387652043872e-10 -12.5460831339933
1.0436605789341706e-05 1651270.182860091 9.569727906092583e-10 -12.546082614495626
1.0500515136481297e-05 1645775.6084141454 1.1020645636402205e-09 -12.546082014179001
1.056481583735543e-05 1640293.9742274147 1.2493461783910526e-09 -12.546081332786509
1.06295102884484e-05 1634825.26764596 1.3988501985035422e-09 -12.546080570056391
1.0694600900919561e-05 1629369.475978902 1.5506096639109395e-09 -12.546079725722043
1.0760090100693115e-05 1623926.5864985317 1.7046580976761738e-09 -12.546078799511971
1.0825980328548684e-05 1618496.586440403 1.8610295129267917e-09 -12.54607779114979
1.0892274040212103e-05 1613079.4630034503 2.019758419886538e-09 -12.546076700354178
1.0958973706447093e-05 1607675.2033500783 2.180879833006525e-09 -12.54607552683887
1.1026081813147285e-05 1602283.794606294 2.3444292781960308e-09 -12.54607427031263
1.1093600861428804e-05 1596905.223861785 2.510442800154841e-09 -12.546072930479225
1.1161533367723613e-05 1591539.4781700477 2.678956969808941e-09 -12.546071507037396
1.1229881863873238e-05 1586186.544548477 2.850008891850106e-09 -12.54606999968085
1.1298648897223063e-05 1580846.4099784913 3.0236362123811986e-09 -12.546068408098208
1.1367837030717402e-05 1575519.0614056285 3.1998771266691957e-09 -12.54606673197301
1.143744884299495e-05 1570204.4857396507 3.3787703870063583e-09 -12.546064970983677
1.1507486928484826e-05 1564902.6698546717 3.5603553106815843e-09 -12.54606312480347
1.15779538975034e-05 1559613.6005892481 3.7446717880639014e-09 -12.546061193100492
1.1648852376351512e-05 1554337.2647464809 3.931760290798671e-09 -12.546059175537646
1.1720185007412288e-05 1549073.649094161 4.1216618801184875e-09 -12.546057071772605
1.1791954449249752e-05 1543822.7403648393 4.3144182152709245e-09 -12.546054881457799
1.1864163376707852e-05 1538584.5252559558 4.510071562063652e-09 -12.54605260424038
1.193681448101007e-05 1533358.9904299523 4.708664801529e-09 -12.546050239762193
1.2009910469859875e-05 1528146.1225143673 4.91024143871026e-09 -12.546047787659752
1.208345406754156e-05 1522945.908101966 5.114845611570176e-09 -12.54604524756421
1.2157448015021709e-05 1517758.3337508428 5.322522100023867e-09 -12.546042619101335
1.223189507005152e-05 1512583.385984532 5.533316335098604e-09 -12.54603990189148
1.2306798007269391e-05 1507421.0512921156 5.74727440822038e-09 -12.546037095549554
1.2382159618304501e-05 1502271.3161283499 5.964443080631189e-09 -12.54603419968499
1.2457982711880788e-05 1497134.1669137573 6.184869792936933e-09 -12.546031213901717
1.253427011392154e-05 1492009.5900347624 6.408602674788474e-09 -12.54602813779814
1.2611024667654883e-05 1486897.5718437876 6.635690554698358e-09 -12.546024970967096
1.2688249233719667e-05 1481798.0986593731 6.866182969993641e-09 -12.546021712995836
1.2765946690271997e-05 1476711.156766285 7.10013017690737e-09 -12.546018363465988
1.284411993309267e-05 1471636.7324156417 7.337583160811342e-09 -12.546014921953523
1.2922771875695012e-05 1466574.8118250158 7.578593646590576e-09 -12.546011388028735
1.3001905449433392e-05 1461525.3811785523 7.823214109162194e-09 -12.546007761256202
1.3081523603612627e-05 1456488.4266270886 8.071497784141356e-09 -12.546004041194761
1.3161629305597831e-05 1451463.9342882622 8.323498678654832e-09 -12.546000227397464
1.3242225540924915e-05 1446451.8902466346 8.579271582304839e-09 -12.54599631941156
1.3323315313412032e-05 1441452.280553791 8.838872078286105e-09 -12.545992316778452
1.3404901645271445e-05 1436465.0912284798 9.102356554656563e-09 -12.545988219033674
1.3486987577222075e-05 1431490.3082567153 9.369782215764563e-09 -12.54598402570685
1.3569576168603001e-05 1426527.9175918805 9.641207093835549e-09 -12.545979736321666
1.3652670497487402e-05 1421577.9051548792 9.91669006071878e-09 -12.545975350395826
1.3736273660797179e-05 1416640.2568342176 1.0196290839796914e-08 -12.545970867441046
1.3820388774418586e-05 1411714.9584861458 1.0480070018061806e-08 -12.545966286962974
1.3905018973318132e-05 1406801.9959347683 1.0768089058356252e-08 -12.545961608461207
1.3990167411659613e-05 1401901.3549721532 1.1060410311786829e-08 -12.545956831429212
1.4075837262921588e-05 1397013.0213584627 1.1357097030307765e-08 -12.545951955354322
1.4162031720015563e-05 1392136.9808220663 1.1658213379479061e-08 -12.545946979717685
1.4248753995405174e-05 1387273.2190596587 1.196382445140217e-08 -12.545941903994228
1.4336007321225812e-05 1382421.7217363797 1.227399627783375e-08 -12.545936727652634
1.4423794949405015e-05 1377582.4744859415 1.2588795843480893e-08 -12.545931450155289
1.451212015178383e-05 1372755.4629107355 1.2908291099481125e-08 -12.54592607095825
1.460098622023867e-05 1367940.6725819565 1.3232550977067826e-08 -12.545920589511224
1.4690396466803916e-05 1363138.0890397266 1.3561645401424521e-08 -12.545915005257509
1.4780354223795531e-05 1358347.6977932195 1.3895645305731515e-08 -12.545909317633965
1.4870862843935171e-05 1353569.484320764 1.4234622645405579e-08 -12.545903526070978
1.4961925700475041e-05 1348803.4340699846 1.4578650412536143e-08 -12.545897629992421
1.5053546187323804e-05 1344049.5324579128 1.49278026505218e-08 -12.545891628815612
1.5145727719172987e-05 1339307.7648711086 1.5282154468907672e-08 -12.545885521951275
1.5238473731624138e-05 1334578.1166657887 1.5641782058427365e-08 -12.545879308803512
1.533178768131707e-05 1329860.573167936 1.600676270625337e-08 -12.545872988769746
1.542567304605859e-05 1325155.1196734358 1.6377174811456552e-08 -12.545866561240693
1.5520133324952028e-05 1320461.7414481952 1.6753097900678597e-08 -12.545860025600321
1.5615172038527825e-05 1315780.4237282516 1.7134612644021318e-08 -12.5458533812258
1.571079272887467e-05 1311111.1517199182 1.7521800871153758e-08 -12.545846627487473
1.5806998959771393e-05 1306453.9105998974 1.7914745587640645e-08 -12.54583976374881
1.590379431682003e-05 1301808.6855153928 1.831353099149702e-08 -12.545832789366363
1.6001182407579192e-05 1297175.4615842516 1.871824248996835e-08 -12.545825703689728
1.609916686169874e-05 1292554.2238950818 1.9128966716543367e-08 -12.5458185060615
1.619775133105498e-05 1287944.9575073693 1.954579154819936e-08 -12.545811195817238
1.6296939489886658e-05 1283347.6474516152 1.9968806122884267e-08 -12.545803772285405
1.6396735034932097e-05 1278762.27872945 2.0398100857240032e-08 -12.54579623478735
1.6497141685566882e-05 1274188.8363137594 2.083376746456811e-08 -12.545788582637234
1.6598163183942368e-05 1269627.3051488225 2.127589897304125e-08 -12.545780815142017
1.6699803295125365e-05 1265077.6701504206 2.1724589744166585e-08 -12.545772931601386
1.6802065807238357e-05 1260539.9162059722 2.2179935491500397e-08 -12.545764931307732
1.6904954531600574e-05 1256014.0281746546 2.2642033299619352e-08 -12.545756813546083
1.700847330287026e-05 1251499.9908875357 2.311098164335316e-08 -12.545748577594086
1.7112625979187466e-05 1246997.789147693 2.3586880407279067e-08 -12.545740222721934
1.7217416442317772e-05 1242507.4077303493 2.4069830905483404e-08 -12.54573174819234
1.732284859779713e-05 1238028.8313829957 2.45599359015948e-08 -12.545723153260475
1.7428926375077346e-05 1233562.044825507 2.5057299629090235e-08 -12.545714437173933
1.7535653727672415e-05 1229107.0327502948 2.556202781187856e-08 -12.545705599172678
1.7643034633306087e-05 1224663.7798224066 2.6074227685167054e-08 -12.545696638488993
1.7751073094059996e-05 1220232.2706796767 2.659400801661145e-08 -12.545687554347442
1.785977313652272e-05 1215812.4899328433 2.7121479127754984e-08 -12.54567834596481
1.796913881194011e-05 1211404.4221656672 2.765675291576186e-08 -12.545669012550063
1.8079174196365975e-05 1207008.051935094 2.819994287544477e-08 -12.545659553304294
1.818988339081426e-05 1202623.3637713364 2.875116412159551e-08 -12.545649967420673
1.830127052141178e-05 1198250.342178039 2.9310533411618536e-08 -12.545640254084402
1.8413339739551892e-05 1193888.9716323933 2.9878169168473016e-08 -12.54563041247266
1.8526095222049435e-05 1189539.2365852718 3.045419150392918e-08 -12.545620441754554
1.863954117129629e-05 1185201.121461341 3.103872224213995e-08 -12.545610341091065
1.875368181541789e-05 1180874.6106592289 3.163188494353335e-08 -12.545600109634996
1.8868521408431032e-05 1176559.6885516092 3.223380492903224e-08 -12.545589746530935
1.8984064230402304e-05 1172256.3394853594 3.2844609304601576e-08 -12.545579250915175
1.910031458760749e-05 1167964.5477816917 3.34644269861297e-08 -12.545568621915686
1.9217276812692298e-05 1163684.2977362666 3.409338872464981e-08 -12.545557858652053
1.9334955264833725e-05 1159415.5736193443 3.4731627131902445e-08 -12.545546960235416
1.9453354329902396e-05 1155158.3596758957 3.5379276706245104e-08 -12.545535925768428
1.9572478420626264e-05 1150912.640125745 3.603647385891589e-08 -12.54552475434519
1.9692331976754965e-05 1146678.399163707 3.6703356940651736e-08 -12.545513445051201
1.981291946522515e-05 1142455.6209597003 3.738006626866784e-08 -12.545501996963306
1.993424538032722e-05 1138244.2896588948 3.80667441540052e-08 -12.545490409149638
2.00563142438727e-05 1134044.38938184 3.8763534929246864e-08 -12.545478680669552
2.0179130605362657e-05 1129855.9042245895 3.947058497661011e-08 -12.54546681057359
2.030269904215749e-05 1125678.8182588464 4.018804275642116e-08 -12.545454797903405
2.0427024159647413e-05 1121513.1155320823 4.0916058835973674e-08 -12.545442641691709
2.0552110591423967e-05 1117358.7800676785 4.16547859187778e-08 -12.545430340962222
2.067796299945302e-05 1113215.7958650605 4.240437887420787e-08 -12.5454178947296
2.0804586074248163e-05 1109084.1468998226 4.3164994767547085e-08 -12.545405301999399
2.0931984535045835e-05 1104963.8171238652 4.393679289044269e-08 -12.54539256176799
2.1060163129981076e-05 1100854.790465533 4.4719934791770134e-08 -12.545379673022516
2.118912663626436e-05 1096757.0508297412 4.5514584308914386e-08 -12.545366634740832
2.131887986035991e-05 1092670.5820981136 4.63209075994762e-08 -12.545353445891434
2.1449427638164684e-05 1088595.3681291144 4.71390731734041e-08 -12.545340105433409
2.15807748351885e-05 1084531.3927581818 4.796925192556005e-08 -12.54532661231637
2.1712926346735625e-05 1080478.6397978705 4.881161716872715e-08 -12.545312965480392
2.1845887098087088e-05 1076437.0930379701 4.9666344667059814e-08 -12.545299163855956
2.1979662044684127e-05 1072406.7362456543 5.053361266998516e-08 -12.54528520636388
2.211425617231312e-05 1068387.553165609 5.141360194656356e-08 -12.545271091915263
2.22496744972913e-05 1064379.5275201679 5.230649582030983e-08 -12.545256819411412
2.2385922066653553e-05 1060382.6430094487 5.3212480204483085e-08 -12.545242387743786
2.252300395834081e-05 1056396.8833114884 5.413174363785432e-08 -12.545227795793933
2.2660925281389153e-05 1052422.2320823728 5.506447732095267e-08 -12.545213042433419
2.27996911761201e-05 1048458.6729563876 5.601087515279912e-08 -12.545198126523765
2.29393068143325e-05 1044506.1895461318 5.697113376813715e-08 -12.545183046916383
2.3079777399494917e-05 1040564.7654426774 5.79454525751591e-08 -12.545167802452513
2.322110816693989e-05 1036634.3842156845 5.8934033793744104e-08 -12.545152391963148
2.3363304384058922e-05 1032715.0294135457 5.993708249420635e-08 -12.545136814268972
2.3506371350498635e-05 1028806.6845635324 6.095480663656322e-08 -12.545121068180288
2.365031439835859e-05 1024909.3331719141 6.198741711033372e-08 -12.545105152496966
2.3795138892389857e-05 1021022.9587241008 6.303512777486723e-08 -12.545089066008353
2.3940850230194823e-05 1017147.5446847925 6.409815550021336e-08 -12.545072807493213
2.408745384242865e-05 1013283.0744980944 6.51767202085423e-08 -12.545056375719666
2.4234955193001534e-05 1009429.5315876713 6.627104491611719e-08 -12.545039769445104
2.4383359779282182e-05 1005586.8993568752 6.738135577582824e-08 -12.54502298741613
2.4532673132303012e-05 1001755.1611888853 6.850788212029965e-08 -12.545006028368483
2.4682900816966128e-05 997934.3004468448 6.965085650556992e-08 -12.54498889102697
