!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc32.txt
! R    D    M    P
2000
1e-05 312602.57555200194 1.3964821416408013e-15 -2.3362593501249913
1.006123575847316e-05 311569.47184627317 2.4164032714543608e-11 -2.3362593427799316
1.0122846498757917e-05 310538.7777805039 4.8691908224198624e-11 -2.336259320753048
1.0184834517083798e-05 309510.4910625693 7.359046333301643e-11 -2.336259284002102
1.0247202123741523e-05 308484.60939337965 9.886521808267767e-11 -2.336259232483983
1.0309951643169051e-05 307461.13046689396 1.24521773381541e-10 -2.336259166154707
1.0373085414038158e-05 306440.0519701466 1.5056581216771817e-10 -2.336259084969413
1.0436605789341707e-05 305421.37158325856 1.7700310058859853e-10 -2.336258988882356
1.0500515136481299e-05 304405.0869794632 2.038394891969175e-10 -2.3362588778469067
1.0564815837355432e-05 303391.1958251221 2.310809141636563e-10 -2.336258751815545
1.0629510288448401e-05 302379.6957797441 2.587333985080893e-10 -2.336258610739856
1.0694600900919563e-05 301370.5844960055 2.868030533450631e-10 -2.3362584545705283
1.0760090100693117e-05 300363.8596197702 3.1529607914980324e-10 -2.3362582832573455
1.0825980328548686e-05 299359.51879010757 3.4421876704061074e-10 -2.336258096749187
1.0892274040212104e-05 298357.5596393136 3.735775000794333e-10 -2.3362578949940196
1.0958973706447095e-05 297357.9797929277 4.033787545908574e-10 -2.3362576779388955
1.1026081813147287e-05 296360.77686975704 4.336291014995268e-10 -2.3362574455299465
1.1093600861428806e-05 295365.9484818913 4.6433520768634417e-10 -2.3362571977123814
1.1161533367723615e-05 294373.49223472597 4.955038373637868e-10 -2.336256934430479
1.122988186387324e-05 293383.4057269792 5.271418534704409e-10 -2.3362566556275857
1.1298648897223065e-05 292395.686550715 5.59256219085087e-10 -2.33625636124611
1.1367837030717404e-05 291410.3322913607 5.918539988607109e-10 -2.336256051227518
1.1437448842994951e-05 290427.3405277267 6.249423604785181e-10 -2.33625572551233
1.1507486928484828e-05 289446.7088320296 6.585285761223257e-10 -2.336255384040113
1.1577953897503402e-05 288468.4347699094 6.926200239736988e-10 -2.3362550267494773
1.1648852376351514e-05 287492.5159004482 7.272241897279307e-10 -2.3362546535780737
1.172018500741229e-05 286518.949776197 7.623486681312407e-10 -2.336254264462585
1.1791954449249754e-05 285547.73394318885 7.980011645395815e-10 -2.336253859338724
1.1864163376707854e-05 284578.8659409626 8.341894964991568e-10 -2.3362534381412274
1.1936814481010072e-05 283612.3433025839 8.709215953490327e-10 -2.33625300080385
1.2009910469859876e-05 282648.16355466243 9.08205507846263e-10 -2.3362525472593614
1.2083454067541561e-05 281686.3242173762 9.460493978136192e-10 -2.3362520774395388
1.215744801502171e-05 280726.82280449057 9.844615478103322e-10 -2.3362515912751634
1.2231895070051522e-05 279769.65682337846 1.0234503608262967e-09 -2.336251088696016
