!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc20.txt
! R    D    M    P
2000
1.0000000000000003e-05 1836373.5889931344 8.203588591301078e-15 -13.517997999919082
1.0061235758473161e-05 1830304.6551190573 1.4195081855034886e-10 -13.517997956770769
1.0122846498757919e-05 1824249.876595981 2.8603901968082585e-10 -13.517997827374563
1.01848345170838e-05 1818209.239958893 4.323047659728521e-10 -13.517997611482334
1.0247202123741525e-05 1812182.7317018656 5.8078048473044e-10 -13.517997308840831
1.0309951643169053e-05 1806170.3382781376 7.314990783062527e-10 -13.517996919191674
1.037308541403816e-05 1800172.0461002672 8.844939309340505e-10 -13.517996442271324
1.0436605789341709e-05 1794187.8415402016 1.0397989156577687e-09 -13.517995877811055
1.05005151364813e-05 1788217.7109294268 1.1974484013577836e-09 -13.517995225536945
1.0564815837355433e-05 1782261.6405590598 1.357477259876051e-09 -13.517994485169838
1.0629510288448403e-05 1776319.6166799618 1.5199208732419795e-09 -13.517993656425327
1.0694600900919565e-05 1770391.6255028564 1.6848151409995312e-09 -13.517992739013728
1.0760090100693118e-05 1764477.6531984496 1.8521964876372863e-09 -13.517991732640047
1.0825980328548688e-05 1758577.6858975303 2.022101870123603e-09 -13.517990637003981
1.0892274040212106e-05 1752691.7096910998 2.194568785546778e-09 -13.51798945179986
1.0958973706447097e-05 1746819.7106304662 2.3696352788634263e-09 -13.517988176716644
1.1026081813147288e-05 1740961.6747273917 2.5473399507551e-09 -13.517986811437888
1.1093600861428807e-05 1735117.5879541736 2.7277219655952492e-09 -13.51798535564172
1.1161533367723616e-05 1729287.4362437872 2.9108210595284717e-09 -13.517983809000807
1.1229881863873242e-05 1723471.205489981 3.0966775486626567e-09 -13.517982171182346
1.1298648897223066e-05 1717668.8815474138 3.2853323373759853e-09 -13.517980441848012
1.1367837030717405e-05 1711880.4502317572 3.47682692674098e-09 -13.517978620653949
1.1437448842994953e-05 1706105.897319812 3.671203423066063e-09 -13.51797670725075
1.1507486928484831e-05 1700345.2085496453 3.8685045465568274e-09 -13.517974701283396
1.1577953897503405e-05 1694598.3696206878 4.068773640099161e-09 -13.517972602391263
1.1648852376351517e-05 1688865.366193848 4.272054678164828e-09 -13.517970410208077
1.1720185007412293e-05 1683146.1838916666 4.4783922758416846e-09 -13.517968124361886
1.1791954449249757e-05 1677440.8082983955 4.6878316979908425e-09 -13.517965744475037
1.1864163376707857e-05 1671749.224960136 4.900418868531366e-09 -13.517963270164142
1.1936814481010076e-05 1666071.4193849626 5.116200379854762e-09 -13.517960701040046
1.200991046985988e-05 1660407.3770430258 5.3352235023717266e-09 -13.517958036707805
1.2083454067541565e-05 1654757.0833666923 5.557536194191678e-09 -13.51795527676665
1.2157448015021714e-05 1649120.523750658 5.783187110937474e-09 -13.517952420809953
1.2231895070051526e-05 1643497.6835520668 6.012225615697966e-09 -13.517949468425217
1.2306798007269396e-05 1637888.5480906293 6.2447017891183314e-09 -13.517946419194017
1.2382159618304506e-05 1632293.1026487593 6.480666439632409e-09 -13.51794327269198
1.2457982711880793e-05 1626711.3324716734 6.720171113836992e-09 -13.51794002848876
1.2534270113921545e-05 1621143.222767539 6.963268107010759e-09 -13.517936686148001
1.2611024667654888e-05 1615588.7587075792 7.210010473780653e-09 -13.5179332452273
1.2688249233719672e-05 1610047.9254262026 7.460452038936116e-09 -13.517929705278183
1.2765946690272002e-05 1604520.7080211188 7.714647408393997e-09 -13.517926065846071
1.2844119933092675e-05 1599007.0915534792 7.972651980316947e-09 -13.517922326470236
1.2922771875695018e-05 1593507.0610479852 8.23452195638581e-09 -13.517918486683778
1.3001905449433397e-05 1588020.6014930177 8.500314353228915e-09 -13.517914546013591
1.3081523603612632e-05 1582547.697840768 8.770087014011149e-09 -13.517910503980325
1.3161629305597836e-05 1577088.335007352 9.04389862018344e-09 -13.517906360098353
1.324222554092492e-05 1571642.4978729486 9.321808703395521e-09 -13.517902113875738
1.3323315313412037e-05 1566210.1712819058 9.603877657575177e-09 -13.517897764814192
1.340490164527145e-05 1560791.3400428935 9.890166751174413e-09 -13.517893312409047
1.348698757722208e-05 1555385.9889290126 1.0180738139585704e-08 -13.517888756149217
1.3569576168603007e-05 1549994.1026779097 1.0475654877731492e-08 -13.51788409551716
1.3652670497487407e-05 1544615.6659919412 1.0774980932827585e-08 -13.517879329988846
1.3736273660797184e-05 1539250.6635382618 1.1078781197323526e-08 -13.517874459033719
1.3820388774418591e-05 1533899.0799489773 1.1387121502023544e-08 -13.517869482114648
1.3905018973318137e-05 1528560.8998212677 1.1700068629387835e-08 -13.517864398687916
1.3990167411659618e-05 1523236.1077175015 1.201769032701972e-08 -13.517859208203154
1.4075837262921593e-05 1517924.6881653813 1.2340055321338657e-08 -13.51785391010332
1.4162031720015568e-05 1512626.6256580655 1.2667233331442584e-08 -13.517848503824656
1.4248753995405179e-05 1507341.9046542952 1.299929508316318e-08 -13.517842988796644
1.4336007321225818e-05 1502070.5095785267 1.3336312323314611e-08 -13.517837364441982
1.442379494940502e-05 1496812.4248210676 1.3678357834139473e-08 -13.517831630176522
1.4512120151783834e-05 1491567.634738195 1.4025505447955472e-08 -13.51782578540925
1.4600986220238674e-05 1486336.1236522878 1.4377830062003606e-08 -13.51781982954224
1.4690396466803921e-05 1481117.8758519639 1.4735407653501533e-08 -13.517813761970608
1.4780354223795536e-05 1475912.8755922145 1.509831529490595e-08 -13.517807582082472
1.4870862843935176e-05 1470721.1070945146 1.546663116938473e-08 -13.517801289258923
1.4961925700475046e-05 1465542.5545469804 1.5840434586502558e-08 -13.517794882873964
1.505354618732381e-05 1460377.2021044842 1.6219805998124232e-08 -13.517788362294487
1.5145727719172992e-05 1455225.0338887908 1.6604827014536217e-08 -13.517781726880214
1.5238473731624143e-05 1450086.0339886963 1.6995580420790457e-08 -13.517774975983667
1.5331787681317076e-05 1444960.1864601444 1.739215019327473e-08 -13.517768108950118
1.5425673046058595e-05 1439847.4753263784 1.7794621516510123e-08 -13.517761125117554
1.5520133324952035e-05 1434747.8845780664 1.8203080800179978e-08 -13.51775402381662
1.561517203852783e-05 1429661.3981734242 1.861761569639438e-08 -13.51774680437058
1.5710792728874677e-05 1424588.0000383684 1.903831511719134e-08 -13.517739466095284
1.58069989597714e-05 1419527.6740666428 1.9465269252278492e-08 -13.517732008299108
1.5903794316820038e-05 1414480.4041199407 1.9898569587020517e-08 -13.517724430282913
1.60011824075792e-05 1409446.1740280557 2.0338308920671585e-08 -13.51771673134
1.6099166861698747e-05 1404424.9675890133 2.078458138486065e-08 -13.517708910756072
1.6197751331054986e-05 1399416.7685691959 2.123748246232932e-08 -13.517700967809176
1.6296939489886665e-05 1394421.560703492 2.1697109005927038e-08 -13.517692901769655
1.6396735034932104e-05 1389439.3276954216 2.21635592578684e-08 -13.517684711900118
1.649714168556689e-05 1384470.0532172723 2.2636932869253547e-08 -13.517676397455372
1.6598163183942375e-05 1379513.7209102472 2.311733091985624e-08 -13.517667957682388
1.669980329512537e-05 1374570.3143845873 2.360485593818486e-08 -13.517659391820244
1.6802065807238364e-05 1369639.8172197146 2.4099611921817e-08 -13.517650699100086
1.690495453160058e-05 1364722.2129643664 2.4601704358012616e-08 -13.517641878745064
1.7008473302870265e-05 1359817.4851367378 2.5111240244611316e-08 -13.517632929970302
1.7112625979187473e-05 1354925.6172246097 2.5628328111214078e-08 -13.517623851982831
1.721741644231778e-05 1350046.592685499 2.6153078040655164e-08 -13.517614643981549
1.7322848597797135e-05 1345180.3949467896 2.668560169076923e-08 -13.517605305157163
1.7428926375077352e-05 1340327.0074058606 2.7226012316454843e-08 -13.517595834692147
1.7535653727672422e-05 1335486.4134302484 2.7774424792039542e-08 -13.517586231760683
1.7643034633306094e-05 1330658.5963577589 2.8330955633952353e-08 -13.517576495528607
1.7751073094060003e-05 1325843.5394966288 2.8895723023704393e-08 -13.51756662515337
1.7859773136522728e-05 1321041.2261256531 2.946884683118346e-08 -13.517556619783969
1.7969138811940116e-05 1316251.6394943162 3.005044863826852e-08 -13.517546478560908
1.807917419636598e-05 1311474.7628229638 3.064065176276372e-08 -13.517536200616131
1.8189883390814267e-05 1306710.5793028972 3.123958128266173e-08 -13.517525785072984
1.8301270521411786e-05 1301959.0720965494 3.184736406073623e-08 -13.517515231046138
1.84133397395519e-05 1297220.2243376106 3.246412876946958e-08 -13.517504537641562
1.852609522204944e-05 1292494.019131174 3.309000591632207e-08 -13.517493703956449
1.86395411712963e-05 1287780.4395538592 3.372512786934357e-08 -13.517482729079163
1.8753681815417898e-05 1283079.4686539932 3.4369628883133965e-08 -13.517471612089182
1.886852140843104e-05 1278391.0894517023 3.5023645125159004e-08 -13.517460352057054
1.898406423040231e-05 1273715.2849390842 3.568731470242219e-08 -13.517448948044326
1.9100314587607497e-05 1269052.03808035 3.6360777688499504e-08 -13.517437399103487
1.9217276812692305e-05 1264401.3318119477 3.7044176150943846e-08 -13.517425704277924
1.9334955264833732e-05 1259763.1490427258 3.773765417905991e-08 -13.517413862601847
1.9453354329902402e-05 1255137.4726540556 3.84413579120563e-08 -13.51740187310024
1.957247842062627e-05 1250524.285499985 3.9155435567582324e-08 -13.517389734788804
1.9692331976754972e-05 1245923.570407388 3.988003747064999e-08 -13.517377446673883
1.9812919465225155e-05 1241335.310176087 4.0615316082948545e-08 -13.517365007752428
1.9934245380327225e-05 1236759.4875790149 4.1361426032558893e-08 -13.51735241701191
2.0056314243872706e-05 1232196.0853623517 4.211852414406879e-08 -13.51733967343028
2.0179130605362664e-05 1227645.0862456635 4.2886769469096284e-08 -13.5173267759759
2.0302699042157496e-05 1223106.4729220562 4.3666323317229e-08 -13.517313723607478
2.042702415964742e-05 1218580.2280583077 4.445734928738034e-08 -13.517300515274009
2.0552110591423974e-05 1214066.3342950216 4.526001329957001e-08 -13.517287149914711
2.0677962999453026e-05 1209564.7742467711 4.6074483627137686e-08 -13.517273626458966
2.080458607424817e-05 1205075.5305022357 4.6900930929388215e-08 -13.517259943826256
2.0931984535045842e-05 1200598.5856243516 4.773952828468254e-08 -13.517246100926087
2.1060163129981083e-05 1196133.9221504584 4.859045122397322e-08 -13.51723209665794
2.1189126636264368e-05 1191681.52259244 4.945387776479317e-08 -13.517217929911205
2.1318879860359916e-05 1187241.3694368727 5.0329988445706054e-08 -13.5172035995651
2.144942763816469e-05 1182813.4451451686 5.121896636121933e-08 -13.51718910448862
2.1580774835188507e-05 1178397.7321537207 5.212099719716851e-08 -13.517174443540467
2.1712926346735632e-05 1173994.212874058 5.303626926658158e-08 -13.517159615568984
2.1845887098087094e-05 1169602.8696929743 5.3964973546024426e-08 -13.517144619412077
2.1979662044684134e-05 1165223.68497269 5.49073037124363e-08 -13.517129453897166
2.2114256172313128e-05 1160856.641050991 5.586345618046429e-08 -13.517114117841102
2.2249674497291306e-05 1156501.7202413774 5.6833630140298354e-08 -13.517098610050104
2.238592206665356e-05 1152158.9048332097 5.781802759601542e-08 -13.517082929319685
2.2523003958340818e-05 1147828.1770918567 5.8816853404442753e-08 -13.517067074434589
2.266092528138916e-05 1143509.5192588363 5.983031531454123e-08 -13.517051044168717
2.2799691176120108e-05 1139202.9135519792 6.085862400731849e-08 -13.517034837285058
2.293930681433251e-05 1134908.3421655525 6.190199313628173e-08 -13.51701845253561
2.3079777399494927e-05 1130625.7872704337 6.296063936842947e-08 -13.517001888661317
2.32211081669399e-05 1126355.2310142345 6.403478242579884e-08 -13.516985144392006
2.3363304384058933e-05 1122096.6555214585 6.512464512756757e-08 -13.51696821844628
2.3506371350498645e-05 1117850.0428936603 6.623045343272084e-08 -13.516951109531483
2.36503143983586e-05 1113615.375209575 6.735243648329413e-08 -13.516933816343606
2.3795138892389867e-05 1109392.6345252725 6.849082664819262e-08 -13.516916337567217
2.3940850230194834e-05 1105181.8028743197 6.964585956759813e-08 -13.516898671875385
2.408745384242866e-05 1100982.8622679082 7.081777419797457e-08 -13.516880817929604
2.4234955193001544e-05 1096795.7946950176 7.200681285767298e-08 -13.516862774379723
2.4383359779282192e-05 1092620.5821225583 7.321322127314693e-08 -13.516844539863861
2.4532673132303022e-05 1088457.206495521 7.443724862579038e-08 -13.516826113008337
2.4682900816966138e-05 1084305.649737127 7.56791475993986e-08 -13.516807492427585
2.4834048432250607e-05 1080165.8937489826 7.693917442826374e-08 -13.516788676724088
2.498612161142141e-05 1076037.920411225 7.821758894591702e-08 -13.516769664488287
2.5139126022239262e-05 1071921.7115826565 7.951465463451892e-08 -13.516750454298506
2.529306736717168e-05 1067817.2491009254 8.083063867490853e-08 -13.516731044720883
2.5447951383605826e-05 1063724.5147826537 8.216581199732571e-08 -13.516711434309263
2.5603783844062197e-05 1059643.490423588 8.352044933280575e-08 -13.516691621605153
2.5760570556409594e-05 1055574.1577987603 8.489482926526018e-08 -13.516671605137613
2.5918317364081902e-05 1051516.4986626331 8.628923428425573e-08 -13.51665138342318
2.6077030146295716e-05 1047470.4947492399 8.770395083849325e-08 -13.516630954965796
2.62367148182693e-05 1043436.1277723636 8.913926938999877e-08 -13.516610318256719
2.639737733144337e-05 1039413.379425647 9.059548446904095e-08 -13.516589471774434
2.655902367370274e-05 1035402.2313827818 9.207289472977528e-08 -13.516568413984574
2.6721659869599318e-05 1031402.6652976406 9.357180300662872e-08 -13.516547143339837
2.6885291980577043e-05 1027414.6628044209 9.509251637143952e-08 -13.516525658279903
2.704992610519734e-05 1023438.2055178216 9.663534619134923e-08 -13.51650395723134
2.721556837936681e-05 1019473.2750331615 9.820060818747199e-08 -13.516482038607519
2.738222497656573e-05 1015519.8529265638 9.978862249433784e-08 -13.516459900808535
2.7549902108078e-05 1011577.9207550853 1.0139971372012584e-07 -13.516437542221118
2.7718606023222945e-05 1007647.4600568714 1.0303421100770141e-07 -13.51641496121853
2.7888343009588074e-05 1003728.4523513129 1.0469244809645871e-07 -13.516392156160501
2.805911939326325e-05 999820.8791392015 1.063747633849835e-07 -13.516369125393124
2.8230941539076792e-05 995924.7219028717 1.080814999945514e-07 -13.516345867248765
2.840381585083253e-05 992039.9621063552 1.098130058334632e-07 -13.516322380045972
2.8577748771548295e-05 988166.5811955392 1.1156963366223194e-07 -13.516298662089397
2.8752746783696414e-05 984304.5605983133 1.133517411596386e-07 -13.516274711669697
2.8928816409445105e-05 980453.8817247194 1.1515969098965675e-07 -13.516250527063429
2.9105964210901423e-05 976614.5259671187 1.1699385086926279e-07 -13.51622610653298
2.928419679035614e-05 972786.4747003188 1.1885459363714801e-07 -13.516201448326457
2.946352079052967e-05 968969.7092817539 1.207422973233341e-07 -13.516176550677597
2.964394289481945e-05 965164.2110516145 1.226573452197078e-07 -13.51615141180568
2.982546982754944e-05 961369.9613330164 1.2460012595149394e-07 -13.516126029915423
3.000810835422027e-05 957586.9414321448 1.2657103354966225e-07 -13.516100403196889
3.0191865281761816e-05 953815.1326384101 1.2857046752429968e-07 -13.516074529825396
3.037674745878669e-05 950054.5162245965 1.3059883293894348e-07 -13.516048407961412
3.0562761775845335e-05 946305.0734470268 1.326565404858951e-07 -13.516022035750455
3.074991516568317e-05 942566.7855457002 1.3474400656253184e-07 -13.515995411323008
3.0938214603498825e-05 938839.6337444586 1.3686165334861873e-07 -13.515968532794412
3.112766710720389e-05 935123.5992511276 1.390099088846374e-07 -13.515941398264761
3.1318279737684853e-05 931418.6632576856 1.4118920715115276e-07 -13.51591400581881
3.151005959906609e-05 927724.8069403991 1.4339998814921786e-07 -13.515886353525879
3.170301383897442e-05 924042.0114599867 1.4564269798183532e-07 -13.51585843943973
3.189714964880588e-05 920370.2579617788 1.479177889364965e-07 -13.515830261598493
3.20924742639936e-05 916709.527575851 1.5022571956879893e-07 -13.515801818024547
3.22889949642772e-05 913059.8014172007 1.5256695478716128e-07 -13.515773106724414
3.248671907397455e-05 909421.0605858844 1.5494196593865758e-07 -13.515744125688665
3.2685653962254544e-05 905793.2861671773 1.573512308959711e-07 -13.515714872891815
3.288580704341154e-05 902176.4592317314 1.5979523414548832e-07 -13.515685346292207
3.308718577714206e-05 898570.5608357195 1.6227446687655478e-07 -13.515655543831917
3.328979766882269e-05 894975.5720209936 1.6478942707189464e-07 -13.515625463436644
3.349365026978953e-05 891391.4738152467 1.6734061959921288e-07 -13.5155951030156
3.369875117762006e-05 887818.2472321552 1.6992855630400544e-07 -13.515564460461405
3.390510803641611e-05 884255.8732715362 1.7255375610357637e-07 -13.515533533649982
3.411272853708855e-05 880704.3329195033 1.752167450822846e-07 -13.515502320440438
3.432162041764431e-05 877163.6071486237 1.7791805658804371e-07 -13.515470818674967
3.453179146347461e-05 873633.6769180616 1.8065823133007568e-07 -13.515439026178722
3.4743249507644894e-05 870114.5231737458 1.8343781747794107e-07 -13.515406940759725
3.495600243118725e-05 866606.1268485119 1.8625737076187177e-07 -13.515374560208736
3.5170058163393586e-05 863108.4688622724 1.891174545743994e-07 -13.515341882299154
3.538542468211164e-05 859621.5301221468 1.920186400733238e-07 -13.515308904786897
3.5602110014042115e-05 856145.291522634 1.9496150628601444e-07 -13.51527562541029
3.582012223503759e-05 852679.7339457688 1.979466402150716e-07 -13.515242041889948
3.6039469470403963e-05 849224.8382612624 2.0097463694537306e-07 -13.515208151928663
3.6260159895203084e-05 845780.5853266648 2.040460997525062e-07 -13.515173953211288
3.648220173455717e-05 842346.9559875185 2.0716164021261054e-07 -13.515139443404621
3.6705603263955807e-05 838923.9310775133 2.1032187831365967e-07 -13.515104620157283
