!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc15.txt
! R    D    M    P
2000
1e-05 371307.8423923839 1.1516014862617824e-15 -7.5488139087423844
1.006123575847316e-05 370209.3523876601 2.870642495876368e-11 -7.54881390001826
1.0122846498757917e-05 369113.0434439795 5.785573611370724e-11 -7.5488138738490465
1.0184834517083798e-05 368018.9144003764 8.745586807610392e-11 -7.548813830178411
1.0247202123741523e-05 366926.96408866264 1.1751370604400714e-10 -7.548813768948905
1.0309951643169051e-05 365837.19133344654 1.480362389196588e-10 -7.548813690101968
1.0373085414038158e-05 364749.5949521346 1.7903056084752304e-10 -7.548813593577903
1.0436605789341707e-05 363664.173754943 2.1050387277481784e-10 -7.5488134793158865
1.0500515136481299e-05 362580.92654490937 2.4246348403471023e-10 -7.548813347253958
1.0564815837355432e-05 361499.85211789754 2.749168139525688e-10 -7.548813197329009
1.0629510288448401e-05 360420.94926261 3.07871393475705e-10 -7.548813029476782
1.0694600900919563e-05 359344.21676059545 3.413348668267592e-10 -7.548812843631866
1.0760090100693117e-05 358269.65338626155 3.7531499318113694e-10 -7.548812639727686
1.0825980328548686e-05 357197.25790688023 4.098196483689865e-10 -7.548812417696498
1.0892274040212104e-05 356127.0290825998 4.4485682660175566e-10 -7.5488121774693795
1.0958973706447095e-05 355058.96566645365 4.804346422240366e-10 -7.548811918976232
1.1026081813147287e-05 353993.0664043727 5.165613314907676e-10 -7.548811642145767
1.1093600861428806e-05 352929.33003518946 5.532452543702721e-10 -7.5488113469055
1.1161533367723615e-05 351867.75529065443 5.904948963735973e-10 -7.548811033181746
1.122988186387324e-05 350808.3408954414 6.283188704103343e-10 -7.5488107008996135
1.1298648897223065e-05 349751.08556715987 6.667259186713827e-10 -7.548810349982994
1.1367837030717404e-05 348695.98801636265 7.057249145391685e-10 -7.548809980354559
1.1437448842994951e-05 347643.0469465604 7.453248645254753e-10 -7.54880959193575
1.1507486928484828e-05 346592.2610542268 7.855349102374013e-10 -7.548809184646774
1.1577953897503402e-05 345543.62902881217 8.263643303719462e-10 -7.548808758406594
1.1648852376351514e-05 344497.14955275133 8.678225427394189e-10 -7.548808313132923
1.172018500741229e-05 343452.8213014775 9.09919106316175e-10 -7.548807848742223
1.1791954449249754e-05 342410.6429434288 9.526637233272326e-10 -7.548807365149685
1.1864163376707854e-05 341370.61314006074 9.96066241358949e-10 -7.548806862269227
1.1936814481010072e-05 340332.73054585734 1.0401366555022959e-09 -7.548806340013494
1.2009910469859876e-05 339296.99380834104 1.0848851105273091e-09 -7.548805798293839
1.2083454067541561e-05 338263.4015680808 1.13032190308889e-09 -7.548805237020323
1.215744801502171e-05 337231.95245870895 1.176457483964532e-09 -7.548804656101708
1.2231895070051522e-05 336202.6451069266 1.2233024603245818e-09 -7.54880405544544
1.2306798007269393e-05 335175.478132516 1.2708675980351084e-09 -7.548803434957651
1.2382159618304503e-05 334150.45014835347 1.3191638239943153e-09 -7.548802794543148
1.245798271188079e-05 333127.5597604159 1.3682022285025724e-09 -7.548802134105402
1.2534270113921541e-05 332106.80556779867 1.4179940676666965e-09 -7.548801453546545
1.2611024667654885e-05 331088.18616271956 1.468550765839132e-09 -7.548800752767357
1.2688249233719669e-05 330071.7001305333 1.5198839180922062e-09 -7.548800031667261
1.2765946690271999e-05 329057.346049745 1.572005292728117e-09 -7.548799290144313
1.2844119933092672e-05 328045.12249201804 1.6249268338253187e-09 -7.548798528095196
1.2922771875695014e-05 327035.02802218497 1.6786606638214927e-09 -7.548797745415207
1.3001905449433393e-05 326027.06119826244 1.7332190861337907e-09 -7.548796941998254
1.3081523603612629e-05 325021.2205714614 1.788614587817036e-09 -7.548796117736844
1.3161629305597833e-05 324017.50468619505 1.8448598422600916e-09 -7.54879527252207
1.3242225540924917e-05 323015.9120800971 1.9019677119210895e-09 -7.548794406243615
1.3323315313412034e-05 322016.4412840267 1.959951251102264e-09 -7.548793518789729
1.3404901645271446e-05 321019.09082208615 2.018823708764582e-09 -7.5487926100472285
1.3486987577222077e-05 320023.85921162745 2.078598531382906e-09 -7.548791679901486
1.3569576168603003e-05 319030.7449632685 2.1392893658424573e-09 -7.5487907282364155
1.3652670497487404e-05 318039.74658090115 2.2009100623767925e-09 -7.548789754934472
1.373627366079718e-05 317050.86256170727 2.263474677548043e-09 -7.548788759876636
1.3820388774418588e-05 316064.0913961671 2.3269974772702526e-09 -7.548787742942405
