!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc25.txt
! R    D    M    P
2000
1.407583726292159e-05 255044.94516294135 2.0554523867325e-09 -6.292123533643866
1.4162031720015565e-05 254248.0550622982 2.110435668585799e-09 -6.292122633030761
1.4248753995405176e-05 253452.8797299542 2.1662601744140327e-09 -6.292121714089373
1.4336007321225814e-05 252659.41790381336 2.22293860121281e-09 -6.2921207767141425
1.4423794949405016e-05 251867.66831639473 2.28048383476002e-09 -6.292119820798242
1.4512120151783831e-05 251077.6296948385 2.33890895237611e-09 -6.292118846233577
1.4600986220238671e-05 250289.30076091783 2.3982272257238023e-09 -6.29211785291077
1.4690396466803918e-05 249502.680231052 2.458452123647965e-09 -6.292116840719157
1.4780354223795533e-05 248717.7668163103 2.519597315056378e-09 -6.292115809546777
1.4870862843935173e-05 247934.55922242888 2.581676671841624e-09 -6.292114759280365
1.4961925700475043e-05 247153.05614981827 2.644704271844832e-09 -6.29211368980534
1.5053546187323806e-05 246373.25629357243 2.708694401862083e-09 -6.292112601005801
1.5145727719172989e-05 245595.15834348305 2.7736615606936807e-09 -6.292111492764513
1.523847373162414e-05 244818.76098404804 2.8396204622370626e-09 -6.292110364962906
1.5331787681317072e-05 244044.0628944806 2.906586038624195e-09 -6.292109217481054
1.5425673046058592e-05 243271.0627487233 2.9745734434036514e-09 -6.292108050197675
1.552013332495203e-05 242499.75921545626 3.0435980547682127e-09 -6.292106862990125
1.5615172038527828e-05 241730.1509581091 3.1136754788288083e-09 -6.2921056557343755
1.5710792728874674e-05 240962.23663487128 3.184821552935091e-09 -6.292104428305017
1.5806998959771397e-05 240196.01489870364 3.2570523490434165e-09 -6.2921031805752445
1.5903794316820035e-05 239431.48439734813 3.3303841771332205e-09 -6.2921019124168485
1.6001182407579196e-05 238668.64377334033 3.4048335886718e-09 -6.292100623700202
1.6099166861698744e-05 237907.4916640193 3.4804173801289452e-09 -6.29209931429426
1.6197751331054983e-05 237148.02670153842 3.5571525965414907e-09 -6.292097984066539
1.629693948988666e-05 236390.24751287894 3.6350565351287217e-09 -6.2920966328831165
1.63967350349321e-05 235634.15271985743 3.7141467489595807e-09 -6.292095260608614
1.6497141685566886e-05 234879.74093913936 3.7944410506719535e-09 -6.292093867106189
1.659816318394237e-05 234127.01078225143 3.8759575162449545e-09 -6.292092452237532
1.6699803295125368e-05 233375.96085558922 3.958714488825232e-09 -6.292091015862844
1.680206580723836e-05 232626.5897604316 4.042730582607539e-09 -6.292089557840835
1.6904954531600577e-05 231878.89609295203 4.128024686770554e-09 -6.292088078028713
1.7008473302870262e-05 231132.87844422803 4.2146159694690325e-09 -6.292086576282168
1.711262597918747e-05 230388.53540025424 4.30252388188248e-09 -6.292085052455373
1.7217416442317775e-05 229645.86554195432 4.39176816232148e-09 -6.292083506400957
1.7322848597797132e-05 228904.86744518986 4.4823688403926505e-09 -6.292081937970009
1.742892637507735e-05 228165.53968077633 4.574346241222611e-09 -6.29208034701206
1.753565372767242e-05 227427.88081449096 4.667720989741956e-09 -6.2920787333750745
1.764303463330609e-05 226691.8894070855 4.76251401503041e-09 -6.292077096905439
1.775107309406e-05 225957.5640142999 4.8587465547234264e-09 -6.2920754374479495
1.7859773136522725e-05 225224.9031868719 4.9564401594813646e-09 -6.292073754845803
1.7969138811940112e-05 224493.90547054863 5.055616697522461e-09 -6.292072048940586
1.8079174196365978e-05 223764.5694061016 5.156298359219638e-09 -6.29207031957226
1.8189883390814263e-05 223036.8935293344 5.2585076617630215e-09 -6.2920685665791565
1.8301270521411783e-05 222310.87637109714 5.362267453888292e-09 -6.292066789797955
1.8413339739551895e-05 221586.51645730034 5.4676009206720565e-09 -6.292064989063684
1.8526095222049438e-05 220863.81230892247 5.574531588395516e-09 -6.292063164209702
1.8639541171296295e-05 220142.76244202527 5.6830833294767544e-09 -6.292061315067685
1.8753681815417894e-05 219423.36536776565 5.793280367472872e-09 -6.292059441467617
1.8868521408431035e-05 218705.61959240664 5.905147282153326e-09 -6.292057543237781
1.8984064230402308e-05 217989.52361733047 6.018709014644736e-09 -6.2920556202047395
1.9100314587607493e-05 217275.07593905236 6.133990872648501e-09 -6.292053672193329
